student_id,fakultas_code,norm_wellbeing,norm_pressure,norm_social,norm_career,cluster_label,pca_dim1,pca_dim2
MHS-00001,5,0.56,0.63,0.4,0.7,3,-0.071,0.613
MHS-00002,1,0.63,0.6,0.56,0.35,2,0.175,-0.543
MHS-00003,0,0.42,0.85,0.57,0.65,1,-0.782,0.049
MHS-00004,4,0.74,0.36,0.87,0.72,4,0.831,-0.362
MHS-00005,1,0.58,0.86,0.58,0.29,1,-0.623,-0.652
MHS-00006,4,0.59,0.66,0.72,0.39,2,-0.089,-0.576
MHS-00007,0,0.69,0.38,0.73,0.59,4,0.588,-0.208
MHS-00008,3,0.63,0.76,0.5,0.62,1,-0.257,0.368
MHS-00009,1,0.33,0.73,0.5,0.55,1,-0.763,0.056
MHS-00010,3,0.43,0.72,0.46,0.59,1,-0.421,0.272
MHS-00011,3,0.43,0.6,0.35,0.54,3,-0.368,0.223
MHS-00012,5,0.76,0.36,0.88,0.8,4,0.931,0.05
MHS-00013,2,0.85,0.4,0.76,0.74,4,1.075,-0.208
MHS-00014,1,0.44,0.82,0.55,0.38,1,-0.895,-0.364
MHS-00015,3,0.88,0.4,0.75,0.62,4,0.888,-0.237
MHS-00016,5,0.58,0.83,0.54,0.51,1,-0.412,-0.042
MHS-00017,4,0.48,0.71,0.25,0.54,3,-0.437,0.519
MHS-00018,5,0.4,0.85,0.42,0.54,1,-1.006,0.408
MHS-00019,1,0.51,0.9,0.49,0.55,1,-0.752,0.084
MHS-00020,1,0.48,0.61,0.49,0.65,3,-0.237,0.419
MHS-00021,3,0.31,0.98,0.53,0.65,1,-1.361,0.066
MHS-00022,5,0.44,0.62,0.38,0.6,3,-0.252,0.475
MHS-00023,0,0.73,0.45,0.64,0.73,4,0.364,0.315
MHS-00024,4,0.47,0.6,0.48,0.63,3,-0.276,0.228
MHS-00025,0,0.54,0.54,0.56,0.56,2,-0.042,-0.018
MHS-00026,1,0.45,0.61,0.36,0.6,3,-0.242,0.345
MHS-00027,2,0.61,0.61,0.52,0.58,3,0.127,0.015
MHS-00028,2,0.46,0.87,0.48,0.62,1,-0.795,0.244
MHS-00029,2,0.57,0.6,0.63,0.32,2,-0.095,-0.743
MHS-00030,2,0.59,0.77,0.56,0.53,1,-0.437,0.14
MHS-00031,0,0.86,0.32,0.81,0.79,4,1.271,-0.231
MHS-00032,1,0.81,0.43,0.87,0.86,4,0.915,-0.1
MHS-00033,5,0.51,0.48,0.62,0.48,2,0.105,-0.335
MHS-00034,0,0.69,0.47,0.81,0.68,4,0.612,-0.457
MHS-00035,0,0.52,0.53,0.71,0.42,2,0.056,-0.598
