student_id,fakultas,semester,wellbeing_score,academic_pressure,social_support,career_readiness,cluster_id,cluster_name,topik_keluhan,sentimen
MHS-00001,Hukum,2,56,63,40,70,3,Social Adaptation,Layanan kampus dan fasilitas,Negatif
MHS-00002,Ekonomi dan Bisnis,8,63,60,56,35,2,Career Concern,Layanan kampus dan fasilitas,Negatif
MHS-00003,Teknik,2,42,85,57,65,1,Academic Pressure,Kesepian dan adaptasi sosial,Negatif
MHS-00004,MIPA,5,74,36,87,72,4,Balanced Wellbeing,Kegiatan dan komunitas,Netral
MHS-00005,Ekonomi dan Bisnis,2,58,86,58,29,1,Academic Pressure,Kesepian dan adaptasi sosial,Negatif
MHS-00006,MIPA,3,59,66,72,39,2,Career Concern,Layanan kampus dan fasilitas,Positif
MHS-00007,Teknik,4,69,38,73,59,4,Balanced Wellbeing,Kegiatan dan komunitas,Negatif
MHS-00008,Ilmu Budaya,8,63,76,50,62,1,Academic Pressure,Kecemasan karier dan magang,Negatif
MHS-00009,Ekonomi dan Bisnis,8,33,73,50,55,1,Academic Pressure,Beban tugas dan ujian,Positif
MHS-00010,Ilmu Budaya,5,43,72,46,59,1,Academic Pressure,Layanan kampus dan fasilitas,Positif
MHS-00011,Ilmu Budaya,3,43,60,35,54,3,Social Adaptation,Kesepian dan adaptasi sosial,Negatif
MHS-00012,Hukum,4,76,36,88,80,4,Balanced Wellbeing,Kecemasan karier dan magang,Negatif
MHS-00013,Kedokteran,5,85,40,76,74,4,Balanced Wellbeing,Kecemasan karier dan magang,Negatif
MHS-00014,Ekonomi dan Bisnis,8,44,82,55,38,1,Academic Pressure,Layanan kampus dan fasilitas,Negatif
MHS-00015,Ilmu Budaya,6,88,40,75,62,4,Balanced Wellbeing,Kesepian dan adaptasi sosial,Positif
MHS-00016,Hukum,1,58,83,54,51,1,Academic Pressure,Kecemasan karier dan magang,Negatif
MHS-00017,MIPA,8,48,71,25,54,3,Social Adaptation,Kecemasan karier dan magang,Positif
MHS-00018,Hukum,2,40,85,42,54,1,Academic Pressure,Beban tugas dan ujian,Negatif
MHS-00019,Ekonomi dan Bisnis,2,51,90,49,55,1,Academic Pressure,Kesepian dan adaptasi sosial,Positif
MHS-00020,Ekonomi dan Bisnis,3,48,61,49,65,3,Social Adaptation,Kesepian dan adaptasi sosial,Negatif
MHS-00021,Ilmu Budaya,5,31,98,53,65,1,Academic Pressure,Kesepian dan adaptasi sosial,Netral
